epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,946.233,2.01104,2.25293,2.40929,0.30389,0.37963,0.20345,0.08632,2.49425,3.27014,3.07287,0.00120491,0.00120491,0.00120491
44,963.205,2.11103,2.44466,2.58567,0.43111,0.31677,0.31545,0.11587,2.14542,2.69459,2.59607,0.00119391,0.00119391,0.00119391
45,978.952,2.03663,2.356,2.519,0.29236,0.45202,0.29668,0.14018,1.82197,2.44899,2.45168,0.0011829,0.0011829,0.0011829
46,1002.1,2.02194,2.3029,2.49666,0.3221,0.45118,0.32176,0.14072,2.11177,2.5771,2.67131,0.0011719,0.0011719,0.0011719
47,1026.6,2.0371,2.28158,2.48099,0.23217,0.41414,0.27641,0.13018,2.02032,2.61885,2.54732,0.0011609,0.0011609,0.0011609
48,1043.19,1.92607,2.18148,2.40166,0.262,0.43519,0.21032,0.09383,2.29163,3.8517,2.90325,0.0011499,0.0011499,0.0011499
49,1069.5,2.0021,2.20539,2.41812,0.3102,0.42929,0.29918,0.12863,2.002,3.36827,2.6623,0.00113889,0.00113889,0.00113889
50,1085.58,1.94933,2.23646,2.40735,0.2929,0.47222,0.3662,0.14762,1.94321,3.2749,2.58369,0.00112789,0.00112789,0.00112789
51,1110.26,2.04198,2.2171,2.44314,0.4229,0.39815,0.35566,0.1664,1.97641,2.41264,2.45754,0.00111689,0.00111689,0.00111689
52,1128.9,1.9282,2.07671,2.36019,0.34258,0.52189,0.33699,0.16348,1.79845,2.90252,2.4898,0.00110589,0.00110589,0.00110589
53,1154.11,1.92352,2.18356,2.40432,0.43094,0.29714,0.26169,0.11857,2.27222,3.06951,2.74183,0.00109489,0.00109489,0.00109489
54,1182.51,1.8586,2.14466,2.32655,0.4151,0.367,0.34149,0.16981,1.90134,2.56758,2.48292,0.00108388,0.00108388,0.00108388
55,1223.05,1.81797,2.08495,2.26003,0.36497,0.4537,0.38593,0.21317,1.64623,2.33563,2.30138,0.00107288,0.00107288,0.00107288
56,1243.82,1.86615,2.10222,2.32058,0.42249,0.46801,0.43123,0.22021,1.79731,2.21945,2.33999,0.00106188,0.00106188,0.00106188
57,1264.26,1.76541,2.02396,2.28261,0.61953,0.367,0.48535,0.27725,1.51952,2.04091,2.2127,0.00105088,0.00105088,0.00105088
58,1291.36,1.8434,2.20275,2.35064,0.62943,0.5109,0.55853,0.32619,1.60431,2.03145,2.24546,0.00103987,0.00103987,0.00103987
59,1313.87,1.86499,2.12127,2.28591,0.44331,0.47454,0.45962,0.26584,1.68946,1.86881,2.39298,0.00102887,0.00102887,0.00102887
60,1338.33,1.8439,2.05627,2.34098,0.65737,0.43096,0.56982,0.28829,1.67032,1.81493,2.33009,0.00101787,0.00101787,0.00101787
61,1354.19,1.83721,2.02101,2.27913,0.4444,0.47222,0.47039,0.25736,1.65057,1.8969,2.27238,0.00100687,0.00100687,0.00100687
62,1370.05,1.80812,1.98221,2.29243,0.53264,0.38552,0.50336,0.28669,1.62596,2.15666,2.37268,0.000995866,0.000995866,0.000995866
63,1391.39,1.77945,1.95769,2.24634,0.49799,0.46603,0.47515,0.25305,1.64478,2.16076,2.26683,0.000984864,0.000984864,0.000984864
64,1407.6,1.7718,1.92357,2.24144,0.55106,0.53199,0.57504,0.36239,1.49813,1.7112,2.15563,0.000973861,0.000973861,0.000973861
65,1430.2,1.72009,1.89113,2.24383,0.45391,0.55721,0.51748,0.31403,1.5455,1.64318,2.19485,0.000962859,0.000962859,0.000962859
66,1452.7,1.67255,1.83128,2.18375,0.47733,0.48064,0.5236,0.332,1.46242,1.88391,2.10892,0.000951857,0.000951857,0.000951857
67,1483.06,1.69973,1.82875,2.13972,0.74332,0.36953,0.51385,0.28802,1.52136,2.13809,2.1334,0.000940855,0.000940855,0.000940855
68,1500.26,1.72141,1.98431,2.16566,0.43907,0.59175,0.54569,0.31582,1.62341,1.88246,2.22538,0.000929853,0.000929853,0.000929853
69,1516.28,1.74043,1.93297,2.18177,0.53591,0.56634,0.5612,0.32092,1.60231,1.74715,2.24315,0.00091885,0.00091885,0.00091885
70,1541.22,1.79773,2.00767,2.23988,0.51581,0.59248,0.53463,0.28604,1.61519,1.74921,2.2294,0.000907848,0.000907848,0.000907848
71,1561.77,1.64642,1.82563,2.1341,0.55401,0.39147,0.56641,0.34056,1.56154,1.66489,2.20566,0.000896846,0.000896846,0.000896846
72,1591.81,1.68074,1.86755,2.12741,0.66751,0.63329,0.67626,0.43017,1.3749,1.55867,2.10077,0.000885844,0.000885844,0.000885844
73,1632.78,1.64324,1.77913,2.09258,0.53521,0.66162,0.63107,0.38833,1.47473,1.72093,2.16572,0.000874842,0.000874842,0.000874842
74,1650.4,1.72301,1.90062,2.17024,0.55155,0.55832,0.6472,0.37863,1.41186,1.57981,2.07692,0.000863839,0.000863839,0.000863839
75,1666.07,1.67728,1.81738,2.15671,0.59874,0.51768,0.53501,0.31933,1.36986,1.66639,2.05753,0.000852837,0.000852837,0.000852837
76,1695.32,1.54643,1.74146,2.07489,0.56614,0.69276,0.66094,0.42105,1.37599,1.6645,2.05084,0.000841835,0.000841835,0.000841835
77,1711.42,1.55022,1.75623,2.01886,0.72538,0.56734,0.63372,0.39676,1.43192,1.89983,2.09162,0.000830833,0.000830833,0.000830833
78,1727.69,1.59719,1.76382,2.07951,0.50532,0.5303,0.54442,0.31113,1.47594,1.81482,2.13293,0.000819831,0.000819831,0.000819831
79,1750.1,1.5801,1.75929,2.09518,0.49788,0.51936,0.52441,0.31182,1.46627,2.01761,2.17138,0.000808828,0.000808828,0.000808828
80,1772.3,1.51725,1.68489,2.00285,0.57237,0.66836,0.6585,0.43702,1.36196,1.60792,1.99668,0.000797826,0.000797826,0.000797826
81,1792.74,1.54414,1.71298,1.99338,0.46388,0.66322,0.60991,0.36681,1.46682,1.57243,2.08967,0.000786824,0.000786824,0.000786824
82,1820.01,1.63198,1.83214,2.08674,0.58955,0.60438,0.624,0.38085,1.38066,1.52065,2.04211,0.000775822,0.000775822,0.000775822
83,1845.92,1.56444,1.70882,1.99778,0.62504,0.59862,0.67486,0.45766,1.3369,1.45857,1.97248,0.00076482,0.00076482,0.00076482
84,1886.9,1.51517,1.67713,2.05557,0.71925,0.633,0.72019,0.47858,1.29523,1.41794,1.93813,0.000753817,0.000753817,0.000753817
85,1908.88,1.57971,1.70986,2.02286,0.85752,0.5463,0.70095,0.47324,1.37922,1.41713,1.98272,0.000742815,0.000742815,0.000742815
86,1934.56,1.47433,1.5558,1.97536,0.66959,0.55991,0.67424,0.46148,1.38527,1.48925,2.0182,0.000731813,0.000731813,0.000731813
87,1955.21,1.60364,1.6727,2.01873,0.74826,0.61027,0.70691,0.4662,1.42672,1.65639,2.06412,0.000720811,0.000720811,0.000720811
88,1971.61,1.48782,1.65169,1.96177,0.69706,0.57821,0.69154,0.44411,1.40702,1.66663,2.09274,0.000709809,0.000709809,0.000709809
89,1994.7,1.5219,1.71034,1.99575,0.61871,0.55701,0.64336,0.37322,1.50587,1.8805,2.19111,0.000698806,0.000698806,0.000698806
90,2024.19,1.50752,1.63163,1.97309,0.56682,0.58706,0.71464,0.46035,1.37917,1.78128,2.03832,0.000687804,0.000687804,0.000687804
91,2040.97,1.50634,1.65096,2.01206,0.88856,0.59377,0.7505,0.52708,1.2272,1.40906,1.89465,0.000676802,0.000676802,0.000676802
92,2082.17,1.46414,1.67546,1.98319,0.63524,0.60017,0.65346,0.44507,1.26176,1.76344,1.95298,0.0006658,0.0006658,0.0006658
93,2112.29,1.43112,1.58678,1.91221,0.50283,0.71549,0.70455,0.46697,1.34145,1.53366,2.01965,0.000654798,0.000654798,0.000654798
94,2129.45,1.40374,1.55454,1.9217,0.70712,0.69848,0.76322,0.50633,1.25617,1.31011,1.90542,0.000643795,0.000643795,0.000643795
95,2151.08,1.42082,1.59372,1.8786,0.70879,0.6359,0.7425,0.49687,1.30357,1.39398,1.88118,0.000632793,0.000632793,0.000632793
96,2166.83,1.40786,1.46467,1.87041,0.65455,0.61027,0.7096,0.46944,1.32834,1.38558,1.92613,0.000621791,0.000621791,0.000621791
97,2187.97,1.40402,1.53863,1.92461,0.68368,0.63497,0.72495,0.44027,1.34233,1.41885,1.91172,0.000610789,0.000610789,0.000610789
98,2203.95,1.42431,1.53844,1.92918,0.78723,0.55051,0.71875,0.46563,1.28177,1.42144,1.88519,0.000599787,0.000599787,0.000599787
99,2219.62,1.41081,1.52531,1.87584,0.62424,0.65351,0.71328,0.48992,1.24295,1.41038,1.86691,0.000588784,0.000588784,0.000588784
100,2235.51,1.43636,1.56845,1.87946,0.57354,0.62879,0.65487,0.44166,1.32402,1.48157,1.87381,0.000577782,0.000577782,0.000577782
101,2257.6,1.39924,1.6251,1.90565,0.71245,0.62997,0.69115,0.47369,1.30451,1.39742,1.83267,0.00056678,0.00056678,0.00056678
102,2273.71,1.36294,1.52894,1.85016,0.83794,0.6041,0.75011,0.51691,1.19137,1.36706,1.79432,0.000555778,0.000555778,0.000555778
103,2298.96,1.37649,1.58361,1.8963,0.69271,0.69659,0.75741,0.52156,1.22484,1.27879,1.77713,0.000544776,0.000544776,0.000544776
104,2315.06,1.35518,1.41425,1.78745,0.77107,0.75253,0.81104,0.55636,1.23524,1.21732,1.80807,0.000533773,0.000533773,0.000533773
105,2345.96,1.40747,1.52477,1.86928,0.7065,0.68067,0.79589,0.55729,1.21911,1.19103,1.80788,0.000522771,0.000522771,0.000522771
106,2363.27,1.31365,1.4738,1.81745,0.91609,0.58523,0.80631,0.53868,1.33204,1.24784,1.84045,0.000511769,0.000511769,0.000511769
107,2389.48,1.30706,1.48918,1.84336,0.77047,0.74163,0.81518,0.57645,1.18333,1.15176,1.75445,0.000500767,0.000500767,0.000500767
108,2407.09,1.38311,1.48714,1.862,0.66878,0.63452,0.77834,0.55154,1.2572,1.22672,1.80357,0.000489765,0.000489765,0.000489765
109,2437.86,1.32102,1.42054,1.78007,0.61275,0.76174,0.7685,0.54097,1.21778,1.28892,1.77484,0.000478762,0.000478762,0.000478762
110,2458.45,1.33884,1.46062,1.82222,0.83024,0.64729,0.82648,0.58126,1.17693,1.1386,1.71794,0.00046776,0.00046776,0.00046776
111,2476.75,1.311,1.44854,1.77538,0.76797,0.66788,0.7975,0.56,1.21867,1.27037,1.77539,0.000456758,0.000456758,0.000456758
112,2505.11,1.27173,1.51984,1.81098,0.87504,0.633,0.78505,0.54447,1.17133,1.24295,1.76627,0.000445756,0.000445756,0.000445756
113,2521.21,1.38669,1.49548,1.87472,0.77348,0.6566,0.77125,0.52058,1.23978,1.35067,1.80084,0.000434754,0.000434754,0.000434754
114,2538.58,1.31902,1.42606,1.75732,0.69448,0.74833,0.77239,0.58892,1.08351,1.19735,1.68656,0.000423751,0.000423751,0.000423751
115,2566.75,1.26443,1.43626,1.75989,0.68454,0.67845,0.78321,0.58595,1.11419,1.16999,1.72873,0.000412749,0.000412749,0.000412749
116,2595.79,1.27858,1.42408,1.77111,0.70589,0.76779,0.81303,0.57923,1.16291,1.14002,1.7581,0.000401747,0.000401747,0.000401747
117,2612.71,1.27235,1.35964,1.73551,0.6887,0.73401,0.8299,0.58462,1.16394,1.12637,1.76313,0.000390745,0.000390745,0.000390745
118,2639.43,1.25812,1.37339,1.81284,0.83329,0.66849,0.80794,0.57349,1.17681,1.12543,1.75641,0.000379743,0.000379743,0.000379743
119,2661.21,1.25555,1.40298,1.74557,0.89509,0.59165,0.82044,0.59094,1.14994,1.13012,1.72099,0.00036874,0.00036874,0.00036874
120,2691.56,1.16803,1.2387,1.67893,0.64457,0.77946,0.81699,0.59767,1.14476,1.15703,1.71469,0.000357738,0.000357738,0.000357738
121,2736.81,1.27522,1.43593,1.75222,0.78451,0.64141,0.80026,0.59058,1.11313,1.19291,1.739,0.000346736,0.000346736,0.000346736
122,2767.88,1.22919,1.37178,1.74612,0.68224,0.79305,0.80828,0.61047,1.04611,1.09751,1.6789,0.000335734,0.000335734,0.000335734
123,2812.42,1.26429,1.35864,1.74103,0.66566,0.74832,0.79743,0.60256,1.05681,1.1174,1.64777,0.000324732,0.000324732,0.000324732
124,2841.65,1.21804,1.32297,1.71008,0.81238,0.63721,0.82836,0.62986,1.02485,1.06062,1.61313,0.000313729,0.000313729,0.000313729
125,2872.27,1.22325,1.37271,1.7405,0.68558,0.78497,0.82036,0.61801,1.04968,1.09365,1.6405,0.000302727,0.000302727,0.000302727
126,2888.27,1.25715,1.3109,1.7343,0.77497,0.72553,0.83211,0.62191,1.04721,1.14869,1.61611,0.000291725,0.000291725,0.000291725
127,2905.35,1.19695,1.3618,1.74614,0.90284,0.67947,0.85332,0.63651,1.04271,1.07218,1.60522,0.000280723,0.000280723,0.000280723
128,2939.73,1.12172,1.27225,1.65863,0.90442,0.70585,0.87565,0.65606,1.03842,0.98215,1.61649,0.000269721,0.000269721,0.000269721
129,2963.5,1.22583,1.28514,1.712,0.8848,0.70001,0.87353,0.65879,1.03978,1.00055,1.63222,0.000258718,0.000258718,0.000258718
130,2989.3,1.21288,1.28921,1.75008,0.92266,0.76431,0.86972,0.66096,1.03964,1.02897,1.64316,0.000247716,0.000247716,0.000247716
131,3011.58,1.16641,1.2989,1.69399,0.83778,0.71549,0.86358,0.6488,1.04777,1.03346,1.64436,0.000236714,0.000236714,0.000236714
132,3029.81,1.20726,1.31731,1.70479,0.84683,0.67424,0.83321,0.62754,1.04206,1.01528,1.63543,0.000225712,0.000225712,0.000225712
133,3054.55,1.18439,1.33375,1.67616,0.85267,0.72612,0.84616,0.63326,1.07262,1.01641,1.65792,0.00021471,0.00021471,0.00021471
134,3078.9,1.21646,1.31465,1.73685,0.70794,0.80933,0.85004,0.63385,1.09665,1.00958,1.66799,0.000203707,0.000203707,0.000203707
135,3095.47,1.19611,1.28026,1.73065,0.76006,0.79286,0.86327,0.6429,1.06952,0.98106,1.63938,0.000192705,0.000192705,0.000192705
136,3113.87,1.09236,1.21809,1.61501,0.88993,0.70186,0.86941,0.6656,1.0084,0.98579,1.62534,0.000181703,0.000181703,0.000181703
137,3131.66,1.19778,1.25466,1.71029,0.88826,0.64783,0.85159,0.65146,0.97201,1.01357,1.61091,0.000170701,0.000170701,0.000170701
138,3149.66,1.16704,1.28223,1.71798,0.71304,0.85267,0.86053,0.64233,1.01113,0.99823,1.61941,0.000159699,0.000159699,0.000159699
139,3176.3,1.14363,1.2014,1.65144,0.75913,0.83504,0.86548,0.6284,1.08784,0.97508,1.66659,0.000148696,0.000148696,0.000148696
140,3206.21,1.15817,1.16225,1.6518,0.89435,0.66102,0.86202,0.64926,1.09111,0.97275,1.67022,0.000137694,0.000137694,0.000137694
141,3234.34,1.00524,1.14558,1.62132,0.89975,0.69697,0.87016,0.65446,1.08072,0.9717,1.66388,0.000126692,0.000126692,0.000126692
142,3254.11,0.97178,1.03846,1.57156,0.7548,0.85778,0.87865,0.65729,1.08046,0.9448,1.63162,0.00011569,0.00011569,0.00011569
143,3277.74,0.96144,0.97729,1.57401,0.78216,0.83774,0.8694,0.62703,1.11813,0.95797,1.64313,0.000104688,0.000104688,0.000104688
144,3294.26,0.94827,0.95148,1.49962,0.75821,0.88047,0.88727,0.66787,1.06127,0.95972,1.6198,9.36854e-05,9.36854e-05,9.36854e-05
145,3314.66,0.95411,0.96604,1.54701,0.78127,0.88771,0.89728,0.67541,1.04912,0.95266,1.62319,8.26832e-05,8.26832e-05,8.26832e-05
146,3345.85,0.93937,0.91684,1.60057,0.76511,0.90984,0.9057,0.6895,1.05516,0.94058,1.62941,7.1681e-05,7.1681e-05,7.1681e-05
147,3366.78,0.90792,0.91192,1.51445,0.86227,0.78526,0.90562,0.69593,1.06183,0.91352,1.62554,6.06788e-05,6.06788e-05,6.06788e-05
148,3386.94,0.93221,0.9213,1.50896,0.86774,0.80132,0.90709,0.70225,1.03515,0.87547,1.6062,4.96766e-05,4.96766e-05,4.96766e-05
149,3419.48,0.90511,0.87897,1.55954,0.8775,0.79831,0.90645,0.71842,1.00953,0.85331,1.59182,3.86744e-05,3.86744e-05,3.86744e-05
150,3441.79,0.8756,0.9064,1.48296,0.87193,0.81229,0.90777,0.70674,0.99763,0.84264,1.58139,2.76722e-05,2.76722e-05,2.76722e-05
